Laureate,Specialty
P. Agre,Cristallography
C. Anfinsen,Cristallography
C.G. Barkla,Cristallography
P.D. Boyer,Cristallography
W.H. Bragg,Cristallography
W.L. Bragg,Cristallography
B.N. Brockhouse,Cristallography
Prince L.-V. P. R. de Broglie,Cristallography
G. Charpak,Cristallography
A.H. Compton,Cristallography
F. Crick,Cristallography
R. F. Curl Jr,Cristallography
C. J. Davisson,Cristallography
P. Debye,Cristallography
J. Deisenhofer,Cristallography
J.A. Doudna,Cristallography
A. Geim,Cristallography
P.G. de Gennes,Cristallography
B.L. Feringa,Cristallography
H.A. Hauptman,Cristallography
D.C. Hodgkin,Cristallography
R. Huber,Cristallography
D. Julius,Cristallography
J. Karle,Cristallography
M. Karplus,Cristallography
J.C. Kendrew,Cristallography
A. Klug,Cristallography
B. Kobilka,Cristallography
R.D. Kornberg,Cristallography
H.W. Kroto,Cristallography
M.T.F. von Laue,Cristallography
R. Lefkowitz,Cristallography
M. Levitt,Cristallography
W.N. Lipscomb,Cristallography
R. MacKinnon,Cristallography
H. Michel,Cristallography
K. Novoselov,Cristallography
A. Patapoutian,Cristallography
L. Pauling,Cristallography
M.F. Perutz,Cristallography
V. Ramakrishnan,Cristallography
W. C. Röntgen,Cristallography
J.-P. Sauvage,Cristallography
D. Shechtman,Cristallography
C.G. Shull,Cristallography
J.C. Skou,Cristallography
R.E. Smalley,Cristallography
T. A. Steitz,Cristallography
J.F. Stoddart,Cristallography
J.B. Sumner,Cristallography
G.P. Thomson,Cristallography
J.E. Walker,Cristallography
A. Warshel,Cristallography
J.D. Watson,Cristallography
M.H.F. Wilkins,Cristallography
A. E. Yonath,Cristallography
Michael W. Young,Genetics
Yoshinori Ohsumi,Genetics
Bruce A. Beutler,Genetics
Elizabeth H. Blackburn,Genetics
Carol W. Greider,Genetics
Martin Chalfie,Genetics
Mario R. Capecchi,Genetics
Oliver Smithies,Genetics
Andrew Z. Fire,Genetics
Sydney Brenner,Genetics
H. Robert Horvitz,Genetics
Leland H. Hartwell,Genetics
Stanley B. Prusiner,Genetics
Edward B. Lewis,Genetics
Eric F. Wieschaus,Genetics
Barbara McClintock,Genetics
Gerald M. Edelman,Genetics
George W. Beadle,Genetics
Joshua Lederberg,Genetics
Edward L. Tatum,Genetics
Herman Joseph Muller,Genetics
Thomas Hunt Morgan,Genetics
Emil Theodor Kocher,Otolaryngology
Róbert Bárány,Otolaryngology
Georg von Békésy,Otolaryngology
